Unique ID,Capture Date,Fate Date,Collar On Days,Fate,Cause Specific Mortality,Sex,Age at capture,Age at death,UTM E,UTM N,Study Area,Study Section
255,1/12/2016,5/31/2016,140,,,m,1.5,,,,Bear Island,Bear Island grid
256,1/11/2016,5/31/2016,141,,,m,2.5,,,,Add Lands,Add Lands Nobels
257,1/11/2016,5/31/2016,141,,,m,5.5,,,,Add Lands,Add Lands Nobels
258,1/8/2016,5/31/2016,144,,,m,1.0,,,,Add Lands,Add Lands Bakers
259,1/10/2016,5/31/2016,142,,,f,4.5,,,,FPNWR,FPNWR east
260,12/30/2015,5/31/2016,153,,,m,2.5,,,,FPNWR,FPNWR east
261,1/10/2016,2/21/2016,42,dead,confirmed predation - panther,f,4.5,,,,Bear Island,Bear Island grid
262,1/9/2016,5/31/2016,143,,,f,4.5,,,,FPNWR,FPNWR east
263,1/6/2016,5/31/2016,146,,,f,5.5,,,,Bear Island,Bear Island grid
264,1/10/2016,4/10/2016,91,dead,confirmed predation - panther,f,4.5,,,,Bear Island,Bear Island grid
265,1/11/2016,5/31/2016,141,,,m,1.5,,,,Add Lands,Add Lands Nobels
266,1/7/2016,5/31/2016,145,,,m,2.0,,,,Bear Island,Bear Island grid
267,1/9/2016,5/31/2016,143,,,m,3.5,,,,Bear Island,Bear Island grid
268,1/8/2016,5/31/2016,144,,,f,4.5,,,,Bear Island,Bear Island Hinson
269,1/8/2016,4/21/2016,104,dead,confirmed predation - panther,f,6,6.5,,,Bear Island,Bear Island grid
270,1/6/2016,5/31/2016,146,,,f,1.5,,,,Add Lands,Add Lands Nobels
271,1/8/2016,5/31/2016,144,,,f,3.0,,,,Bear Island,Bear Island grid
272,1/6/2016,1/7/2016,1,dead,confirmed predation - panther,f,2.5,2.5,482846,2899843,Add Lands,Add Lands Bakers
273,1/7/2016,5/31/2016,145,,,f,2.5,,,,Bear Island,Bear Island grid
274,1/7/2016,5/31/2016,145,,,f,5.5,,,,Bear Island,Bear Island grid
275,1/8/2016,1/10/2016,2,dead,confirmed predation - panther,f,2,2,454240,2893866,FPNWR,FPNWR west
276,1/7/2016,5/31/2016,145,,,f,4.5,,,,Bear Island,Bear Island grid
277,1/5/2016,5/31/2016,147,,,f,3.5,,,,FPNWR,FPNWR west
278,1/6/2016,5/31/2016,146,,,f,1.5,,,,Add Lands,Add Lands Nobels
279,1/6/2016,4/26/2016,111,dead,confirmed predation - bobcat,f,5.5,6,,,Bear Island,Bear Island grid
280,1/6/2016,5/31/2016,146,,,f,3.5,,,,Bear Island,Bear Island grid
281,1/13/2016,2/7/2016,25,dead,confirmed predation - bobcat,m,2,2,,,Bear Island,Bear Island grid
282,1/12/2016,2/3/2016,22,unknown,,m,3.5,,,,Bear Island,Bear Island grid
283,1/13/2016,4/30/2016,108,dead,confirmed predation - panther,m,1.5,2,,,Add Lands,Add Lands Nobels
284,1/12/2016,1/13/2016,1,dead,confirmed predation - bobcat,f,4.5,4.5,469166,2893029,Bear Island,Bear Island Hinson
285,1/11/2016,5/31/2016,141,,,m,2.5,,,,Add Lands,Add Lands Nobels
286,1/12/2016,3/14/2016,62,dead,probable predation - panther,f,6.5,6.5,,,Bear Island,Bear Island grid
287,1/13/2016,4/14/2016,92,dead,confirmed predation - panther,f,4,4.5,,,Add Lands,Add Lands Nobels
288,1/12/2016,2/18/2016,37,dead,probable predation - panther,f,2,2,,,Bear Island,Bear Island grid
289,1/12/2016,5/31/2016,140,,,m,3.5,,,,Bear Island,Bear Island grid
290,1/13/2016,5/31/2016,139,,,f,1.5,,,,Bear Island,Bear Island grid
291,1/12/2016,5/31/2016,140,,,m,3.5,,,,Bear Island,Bear Island grid
292,1/12/2016,5/31/2016,140,,,f,2.5,,,,Bear Island,Bear Island grid
293,1/12/2016,5/31/2016,140,,,f,2.5,,,,Bear Island,Bear Island Hinson
294,1/11/2016,5/31/2016,141,,,m,3.5,,,,Bear Island,Bear Island grid
295,1/12/2016,5/31/2016,140,,,f,2.0,,,,Bear Island,Bear Island grid
296,1/12/2016,5/31/2016,140,,,f,2.5,,,,Bear Island,Bear Island grid
297,1/13/2016,1/14/2016,1,dead,probable predation - panther or bear,m,3.5,3.5,469138,2898053,Bear Island,Bear Island Hinson
298,1/6/2016,5/31/2016,146,,,f,3.5,,,,Bear Island,Bear Island grid
299,1/8/2016,5/31/2016,144,,,f,1.5,,,,FPNWR,FPNWR east
300,1/7/2016,5/31/2016,145,,,f,3.5,,,,Bear Island,Bear Island grid
301,1/11/2016,5/31/2016,141,,,f,4.5,,,,Add Lands,Add Lands Nobels
302,1/9/2016,5/31/2016,143,,,f,4.5,,,,Bear Island,Bear Island Hinson
303,1/7/2016,1/28/2016,21,dead,confirmed predation- panther,f,5,5,,,Bear Island,Bear Island grid
304,1/6/2016,5/31/2016,146,,,f,,,,,Bear Island,Bear Island grid
305,1/7/2016,5/31/2016,145,,,f,3.5,,,,Bear Island,Bear Island grid
306,1/6/2016,5/31/2016,146,,,f,2.5,,,,Add Lands,Add Lands Bakers
307,1/12/2016,5/31/2016,140,,,f,5.5,,,,Bear Island,Bear Island grid
308,1/13/2016,1/15/2016,2,dead,confirmed predation - panther,f,3.5,3.5,482662,2902230,Bear Island,Bear Island grid
309,1/13/2016,1/18/2016,5,dead,confirmed predation - panther,m,6.5,6.5,496976,2897617,Add Lands,Add Lands Nobels
310,1/13/2016,5/31/2016,139,,,f,3.5,,,,Add Lands,Add Lands Bakers
311,1/13/2016,5/31/2016,139,,,f,1.5,,,,Bear Island,Bear Island grid
312,1/13/2016,2/18/2016,36,dead,probable predation - panther,f,5,5,,,Bear Island,Bear Island grid
313,1/13/2016,5/31/2016,139,,,m,4.5,,,,Add Lands,Add Lands Nobels
314,1/13/2016,2/21/2016,39,dead,probable predation - panther,f,6,6,,,Add Lands,Add Lands Bakers
315,1/13/2016,2/9/2016,27,dead,collary injury - non predation,f,4,4,,,Bear Island,Bear Island Hinson
316,1/13/2016,2/15/2016,33,dead,confirmed predation - panther,m,2,2,,,Bear Island,Bear Island grid
317,1/13/2016,1/16/2016,3,dead,broken neck,m,1.5,1.5,483718,2899903,Add Lands,Add Lands Bakers
318,4/19/2016,5/31/2016,42,,,f,4.0,,,,FPNWR,FPNWR east
321,4/19/2016,4/21/2016,2,dead,capture myopathy,f,3,3,,,FPNWR,FPNWR east
322,5/23/2016,5/31/2016,8,,,m,2.0,,,,FPNWR,FPNWR east
